datetime,load,temp,feels_like,pressure,humidity,wind_speed,wind_deg,rain,snow,clouds,public_holiday
2022-10-06 00:15:00,7879,14.3375,13.8925,1022.25,79,6.3025,250,0,0,15,0
2022-10-06 00:30:00,7887,14.085,13.615,1022.5,79,5.915,250,0,0,10,0
2022-10-06 00:45:00,7745,13.8325,13.3375,1022.75,79,5.5275,250,0,0,5,0
2022-10-06 01:00:00,7912,13.58,13.06,1023,79,5.14,250,0,0,0,0
2022-10-06 01:15:00,7746,13.375,12.815,1023.25,78.25,5.27,250,0,0,0,0
2022-10-06 01:30:00,7749,13.17,12.57,1023.5,77.5,5.4,250,0,0,0,0
2022-10-06 01:45:00,7701,12.965,12.325,1023.75,76.75,5.53,250,0,0,0,0
2022-10-06 02:00:00,7715,12.76,12.08,1024,76,5.66,250,0,0,0,0
2022-10-06 02:15:00,7573,12.5975,11.9075,1024.25,76.25,5.66,250,0,0,0,0
2022-10-06 02:30:00,7549,12.435,11.735,1024.5,76.5,5.66,250,0,0,0,0
2022-10-06 02:45:00,7658,12.2725,11.5625,1024.75,76.75,5.66,250,0,0,0,0
2022-10-06 03:00:00,7794,12.11,11.39,1025,77,5.66,250,0,0,0,0
2022-10-06 03:15:00,7793,11.955,11.225,1025.25,77.25,5.53,247.5,0,0,0,0
2022-10-06 03:30:00,8015,11.8,11.06,1025.5,77.5,5.4,245,0,0,0,0
2022-10-06 03:45:00,7979,11.645,10.895,1025.75,77.75,5.27,242.5,0,0,0,0
2022-10-06 04:00:00,8153,11.49,10.73,1026,78,5.14,240,0,0,0,0
2022-10-06 04:15:00,8266,11.3075,10.55,1026,78.75,5.0125,240,0,0,0,0
2022-10-06 04:30:00,8135,11.125,10.37,1026,79.5,4.885,240,0,0,0,0
2022-10-06 04:45:00,8287,10.9425,10.19,1026,80.25,4.7575,240,0,0,0,0
2022-10-06 05:00:00,8513,10.76,10.01,1026,81,4.63,240,0,0,0,0
2022-10-06 05:15:00,8824,10.67,9.9225,1026.25,81.5,4.5025,240,0,0,0,0
