Date,GasCons,Irradiation,Rain,Temperature,WindSpeed,PH,_LABEL
2004-01-01 00:00:00,53875.5,0,0.5,0,0,0,0
2004-01-01 01:00:00,51297.2,0,0.3,0.8,5.5,0,0
2004-01-01 02:00:00,51010.4,0,0.5,0.6,6.3,0,0
2004-01-01 03:00:00,51282.6,0,0.4,0.5,5.2,0,0
2004-01-01 04:00:00,54692,0,0.2,0.5,5.9,0,0
2004-01-01 05:00:00,63839.5,0,0.3,0.3,5.2,0,0
2004-01-01 06:00:00,74680.2,0,0.1,0.3,5,0,0
2004-01-01 07:00:00,74350.1,0,0.1,0.2,4.5,0,0
2004-01-01 08:00:00,74460.2,0,0,0.3,5.8,0,0
2004-01-01 09:00:00,78495.2,0,0,0.3,5,0,0
2004-01-01 10:00:00,82028.4,0,0,0.3,4.8,0,0
2004-01-01 11:00:00,82105.3,0,0,0.4,3.9,0,0
2004-01-01 12:00:00,81282,0,0,0.7,4.3,0,0
2004-01-01 13:00:00,81198.3,0,0,0.6,3.5,0,0
2004-01-01 14:00:00,79845.6,0,0,0.7,2.9,0,0
2004-01-01 15:00:00,79888.2,0,0,0.3,3.2,0,0
2004-01-01 16:00:00,80550.9,0,0,0.1,3.3,0,0
2004-01-01 17:00:00,80392.5,0,0,-0.6,3.9,0,0
2004-01-01 18:00:00,80333.8,0,0,-1.3,3.1,0,0
2004-01-01 19:00:00,79500.9,0,0,-1,2.9,0,0
2004-01-01 20:00:00,77970.5,0,0,-1.4,2.4,0,0
2004-01-01 21:00:00,71930.9,0,0,-2.2,1.9,0,0
2004-01-01 22:00:00,64984.4,0,0,-1.8,1.8,0,0
2004-01-01 23:00:00,59105.7,0,0,-2.4,2.5,0,0
2004-01-02 00:00:00,55157.3,0,0,-2.5,3.7,0,0
2004-01-02 01:00:00,53573.3,0,0,-2.6,3.3,0,0
2004-01-02 02:00:00,53100.8,0,0,-2.7,3.2,0,0
2004-01-02 03:00:00,54506,0,0,-2.7,3,0,0
2004-01-02 04:00:00,59215.2,0,0,-3,4,0,0
2004-01-02 05:00:00,71122.3,0,0,-3.1,3.9,0,0
2004-01-02 06:00:00,83493.6,0,0,-3.4,4.3,0,0
2004-01-02 07:00:00,85519,0,0,-3.8,3.7,0,0
2004-01-02 08:00:00,93233.8,0,0,-3.5,2.7,0,0
2004-01-02 09:00:00,91614,0,0,-2.6,3.6,0,0
2004-01-02 10:00:00,92103.6,0,0,-2.4,3.9,0,0
2004-01-02 11:00:00,88077.6,0,0,-2,3.9,0,0
2004-01-02 12:00:00,86324.4,0,0,-1.7,4.4,0,0
2004-01-02 13:00:00,84631.3,0,0,-1.8,3.9,0,0
2004-01-02 14:00:00,86291.5,0,0,-1.7,2.7,0,0
2004-01-02 15:00:00,88718.1,0,0,-2.6,3.8,0,0
2004-01-02 16:00:00,88812.2,0,0,-3,5,0,0
2004-01-02 17:00:00,90647.3,0,0,-3.2,5.3,0,0
2004-01-02 18:00:00,91845.8,0,0,-3.1,4.8,0,0
2004-01-02 19:00:00,90748.1,0,0,-2.8,5,0,0
2004-01-02 20:00:00,85903.1,0,0,-2.9,4.5,0,0
2004-01-02 21:00:00,83080.6,0,0,-3,4.2,0,0
2004-01-02 22:00:00,72264.3,0,0,-3,4.4,0,0
2004-01-02 23:00:00,65588.1,0,0,-3,4.1,0,0
2004-01-03 00:00:00,62194.7,0,0,-2.9,4.2,0,0
2004-01-03 01:00:00,58812.5,0,0,-2.7,3.6,0,0
2004-01-03 02:00:00,58670.8,0,0,-2.6,4.5,0,0
2004-01-03 03:00:00,58308.9,0,0,-2.5,4,0,0
2004-01-03 04:00:00,60123.9,0,0,-2.5,3.9,0,0
2004-01-03 05:00:00,70115.2,0,0,-2.5,4.4,0,0
2004-01-03 06:00:00,83422.5,0,0,-2.5,4.3,0,0
2004-01-03 07:00:00,85931,0,0,-2.4,4.5,0,0
2004-01-03 08:00:00,91858.3,0,0,-2.8,3.6,0,0
2004-01-03 09:00:00,94156.5,0,0,-3,4.7,0,0
2004-01-03 10:00:00,94503.1,0,0,-2.9,4.5,0,0
2004-01-03 11:00:00,96914.7,0,0,-2.5,2.9,0,0
2004-01-03 12:00:00,87740.3,0,0,-2.1,4.1,0,0
2004-01-03 13:00:00,87439.6,0,0,-2.6,3.6,0,0
2004-01-03 14:00:00,87113.7,0,0,-2.6,3,0,0
2004-01-03 15:00:00,89095.1,0,0,-3.2,3.2,0,0
2004-01-03 16:00:00,91444.8,0,0,-3.4,2.4,0,0
2004-01-03 17:00:00,92564.6,0,0,-3.6,3.5,0,0
