timestamp,PV_obs,PVOUT,GHI,GTI,TEMP,SA,SE,DNI,DIF
2015-01-01 00:00:00,0,0,0,0,-8.6,-157.59,-63.65,0,0
2015-01-01 01:00:00,0,0,0,0,-8.2,-132.01,-57.83,0,0
2015-01-01 02:00:00,0,0,0,0,-7.3,-113.38,-49.39,0,0
2015-01-01 03:00:00,0,0,0,0,-7,-99.36,-39.76,0,0
2015-01-01 04:00:00,0,0,0,0,-6.8,-87.74,-29.75,0,0
2015-01-01 05:00:00,0,0,0,0,-6.6,-77.17,-19.81,0,0
2015-01-01 06:00:00,0,0,0,0,-6.4,-66.84,-10.23,0,0
2015-01-01 07:00:00,0,0.1,2,2,-6.2,-56.16,-0.67,0,2
2015-01-01 08:00:00,0.115,15.705,28,29,-5.6,-44.72,6.49,7,27
2015-01-01 09:00:00,0.299,144.149,114,166,-5.2,-32.24,12.67,115,89
2015-01-01 10:00:00,0.598,95.406,85,113,-4.6,-18.69,16.97,61,69
2015-01-01 11:00:00,0.598,56.709,77,75,-3.8,-4.36,18.97,1,77
2015-01-01 12:00:00,0.575,59.302,79,78,-3.1,10.19,18.46,4,78
2015-01-01 13:00:00,0.437,31.094,51,47,-2.6,24.26,15.5,0,51
2015-01-01 14:00:00,0.253,10.692,24,22,-2.3,37.39,10.38,0,24
2015-01-01 15:00:00,0.046,2.105,7,7,-2.4,49.43,3.65,0,7
2015-01-01 16:00:00,0,0,0,0,-2.6,60.52,-4.27,0,0
2015-01-01 17:00:00,0,0,0,0,-2.1,71.01,-14.04,0,0
2015-01-01 18:00:00,0,0,0,0,-2,81.36,-23.78,0,0
2015-01-01 19:00:00,0,0,0,0,-2.1,92.23,-33.79,0,0
2015-01-01 20:00:00,0,0,0,0,-2.1,104.61,-43.71,0,0
2015-01-01 21:00:00,0,0,0,0,-2,120.16,-52.99,0,0
2015-01-01 22:00:00,0,0,0,0,-2.1,141.46,-60.59,0,0
2015-01-01 23:00:00,0,0,0,0,-2.1,170.37,-64.71,0,0
2015-01-02 00:00:00,0,0,0,0,-2.2,-157.92,-63.61,0,0
2015-01-02 01:00:00,0,0,0,0,-2.2,-132.25,-57.82,0,0
2015-01-02 02:00:00,0,0,0,0,-2.2,-113.58,-49.39,0,0
2015-01-02 03:00:00,0,0,0,0,-2.3,-99.54,-39.78,0,0
2015-01-02 04:00:00,0,0,0,0,-2.2,-87.89,-29.77,0,0
2015-01-02 05:00:00,0,0,0,0,-2.1,-77.31,-19.82,0,0
2015-01-02 06:00:00,0,0,0,0,-2.2,-66.97,-10.24,0,0
2015-01-02 07:00:00,0,0.222,3,3,-2.3,-56.29,-0.66,0,3
2015-01-02 08:00:00,0.322,66.61,54,86,-2.2,-44.85,6.51,83,43
2015-01-02 09:00:00,0.644,100.693,96,123,-1.8,-32.37,12.7,52,85
2015-01-02 10:00:00,0.966,124.739,127,148,-1.1,-18.82,17.03,35,116
2015-01-02 11:00:00,1.771,394.667,260,436,-0.1,-4.47,19.05,386,133
2015-01-02 12:00:00,3.013,464.549,284,512,0.8,10.09,18.56,521,118
2015-01-02 13:00:00,3.197,308.61,194,343,1.3,24.19,15.61,353,98
2015-01-02 14:00:00,1.127,221.567,131,253,1.3,37.34,10.5,317,69
2015-01-02 15:00:00,0.138,10.328,19,20,0.1,49.39,3.76,6,18
2015-01-02 16:00:00,0,0,0,0,-0.2,60.5,-4.12,0,0
2015-01-02 17:00:00,0,0,0,0,0.8,70.99,-13.9,0,0
2015-01-02 18:00:00,0,0,0,0,1.3,81.35,-23.65,0,0
2015-01-02 19:00:00,0,0,0,0,1.7,92.22,-33.66,0,0
2015-01-02 20:00:00,0,0,0,0,2.6,104.6,-43.58,0,0
2015-01-02 21:00:00,0,0,0,0,3.3,120.11,-52.86,0,0
2015-01-02 22:00:00,0,0,0,0,3.5,141.35,-60.47,0,0
2015-01-02 23:00:00,0,0,0,0,3,170.16,-64.61,0,0
